Peso (g),Integral Red Pitaya
19.0,73.64097071142857
80.0,65.7548094
139.0,55.67963874314286
197.0,53.88227055285714
254.0,52.61646582257143
319.0,44.594568544
371.0,47.59296898857143
420.0,43.683203988571435
467.0,42.441967840000004
513.0,38.58742841457142
557.0,36.53386822428571
599.0,34.24548103657143
622.0,36.945165623428565
449.0,38.408691585142854
484.0,35.94890047142857
405.0,42.098225665142856
291.0,41.66079140914286
262.0,49.71931408
202.0,48.95425043285714
83.0,56.574385296
442.0,64.77215816142856
30.0,70.466961784
64.0,65.20267322171429
124.0,59.80855369657143
196.0,50.90795598857143
252.0,47.822174051428576
231.0,46.828975484
357.0,43.781859087142855
419.0,38.845178169142855
468.0,42.152613964
513.0,38.75802549028572
557.0,35.02645049542858
600.0,33.767119683714284
595.0,35.18178613485715
524.0,34.35937706828571
457.0,35.954616876571436
390.0,38.58609139257143
242.0,45.743887771999994
247.0,49.72148998057143
186.0,55.983291801142855
126.0,60.34779771885714
20.0,57.60608541885714
